"region";"vaccine";"n_dose";"year";"cov1y";"cov2y";"cov3y";"cov4y";"cov5y"
"south east";"MMR";1;2012;0.716925;0.920849528;0.91533357897736;0.92819587894288;0.9195482538
"south east";"MMR";1;2013;0.7206;0.9262065928;0.92755896269096;0.9233540759824;0.9330531754
"south east";"MMR";1;2014;0.7176;0.9178877198;0.93105647223336;0.9307496026514;0.9261917128
"south east";"MMR";1;2015;0.716925;0.9114484445;0.92589716006665;0.93410827906;0.9319358378
"south east";"MMR";1;2016;0.7155292183875;0.918586182;0.92689573255273;0.93198301488512;0.9349862442
"south east";"MMR";1;2017;0.718267936275;0.9080779157;0.93110833468577;0.93570413516181;0.9343850221
"south east";"MMR";1;2018;0.7177829428125;0.9153811634;0.9314813563515;0.93731639885281;0.9386013502
"south east";"MMR";1;2019;0.7226836778625;0.9140878475;0.93616840681603;0.9430839988795;0.9411445547
"south east";"MMR";2;2005;0;0.605815827837167;0.723221476510067;0.723221476510067;0.723221476510067
"south east";"MMR";2;2006;0;0.602653890359594;0.728406670478739;0.728406670478739;0.728406670478739
"south east";"MMR";2;2007;0;0.609725259006433;0.7246048940238;0.7246048940238;0.7246048940238
"south east";"MMR";2;2008;0;0.647583111449253;0.733107200921526;0.733107200921526;0.733107200921526
"south east";"MMR";2;2009;0;0.68670464866332;0.778625840386261;0.778625840386261;0.778625840386261
"south east";"MMR";2;2010;0;0.69767725337295;0.8256638796;0.8256638796;0.8256638796
"south east";"MMR";2;2011;0;0.77662676340072;0.8388568635;0.8388568635;0.8388568635
"south east";"MMR";2;2012;0;0.81293889646853;0.8612917416;0.8612917416;0.8612917416
"south east";"MMR";2;2013;0;0.81830627513948;0.8785679201;0.8785679201;0.8785679201
"south east";"MMR";2;2014;0;0.82539619544824;0.8662992538;0.8662992538;0.8662992538
"south east";"MMR";2;2015;0;0.81225544101917;0.8675595916;0.8675595916;0.8675595916
"south east";"MMR";2;2016;0;0.81757035971496;0.8638258439;0.8638258439;0.8638258439
"south east";"MMR";2;2017;0;0.83136109830771;0.8618705036;0.8618705036;0.8618705036
"south east";"MMR";2;2018;0;0.83298335730498;0.8720875887;0.8720875887;0.8720875887
"south east";"MMR";2;2019;0;0.84905072234703;0.8739726758;0.8739726758;0.8739726758
"south west";"MMR";1;2005;0.69825;0.805;0.847210541854872;0.887338513648641;0.907078001380555
"south west";"MMR";1;2006;0.70125;0.862;0.85691225542956;0.871647523787177;0.89420148267341
"south west";"MMR";1;2007;0.6357;0.87;0.890606581039068;0.891945667883913;0.879450929782366
"south west";"MMR";1;2008;0.6738;0.884;0.8985148698753;0.909911967486984;0.903132807995387
"south west";"MMR";1;2009;0.68295;0.874;0.9076245130821;0.9177583642902;0.916076712739259
"south west";"MMR";1;2010;0.69105;0.8909937942;0.9097905118687;0.9235677100014;0.9239033457
"south west";"MMR";1;2011;0.70845;0.8962585325;0.9215209380444;0.93029595740416;0.9286588149
"south west";"MMR";1;2012;0.71115;0.9169476044;0.9247451382;0.9414673361034;0.9377408938
"south west";"MMR";1;2013;0.71175;0.9351766214;0.93764749918371;0.94685644154434;0.9464775162
"south west";"MMR";1;2014;0.71295;0.9420776809;0.9484691285539;0.95075730450878;0.9532317439
"south west";"MMR";1;2015;0.714;0.9372529886;0.95026996784375;0.9565838830134;0.9553589883
"south west";"MMR";1;2016;0.7239401085375;0.9294432279;0.94731739937068;0.95831619801456;0.9596924959
"south west";"MMR";1;2017;0.72487094025;0.9305069561;0.94276871125924;0.957715450279;0.9608029082
"south west";"MMR";1;2018;0.7238032553625;0.932989174;0.94487027504816;0.95506606997561;0.9612558762
"south west";"MMR";1;2019;0.7248828916875;0.9301420143;0.94484674255608;0.95812539538424;0.9603178418
"south west";"MMR";2;2005;0;0.609317556462272;0.767093222888901;0.767093222888901;0.767093222888901
"south west";"MMR";2;2006;0;0.600992174576172;0.78886270903971;0.78886270903971;0.78886270903971
"south west";"MMR";2;2007;0;0.63245847908258;0.778084120373086;0.778084120373086;0.778084120373086
"south west";"MMR";2;2008;0;0.639370251339102;0.818822474213595;0.818822474213595;0.818822474213595
"south west";"MMR";2;2009;0;0.65649692935396;0.827770910589205;0.827770910589205;0.827770910589205
"south west";"MMR";2;2010;0;0.65856743537584;0.8499442379;0.8499442379;0.8499442379
"south west";"MMR";2;2011;0;0.7531842911643;0.8526248516;0.8526248516;0.8526248516
"south west";"MMR";2;2012;0;0.815726507056;0.848085003;0.848085003;0.848085003
"south west";"MMR";2;2013;0;0.85994073963315;0.8866592468;0.8866592468;0.8866592468
"south west";"MMR";2;2014;0;0.86111201428329;0.9039637755;0.9039637755;0.9039637755
"south west";"MMR";2;2015;0;0.86208459163632;0.9092091799;0.9092091799;0.9092091799
"south west";"MMR";2;2016;0;0.8401057373507;0.9059316852;0.9059316852;0.9059316852
"south west";"MMR";2;2017;0;0.8493371937201;0.8999525842;0.8999525842;0.8999525842
"south west";"MMR";2;2018;0;0.8571324553785;0.909062607;0.909062607;0.909062607
"south west";"MMR";2;2019;0;0.865133347302;0.9070184713;0.9070184713;0.9070184713
"west midlands";"MMR";1;2005;0.693;0.828;0.865670276809538;0.887837936077578;0.917262480381744
"west midlands";"MMR";1;2006;0.7035;0.848;0.873135351382244;0.878229707432081;0.901197308529586
"west midlands";"MMR";1;2007;0.69;0.876;0.887605944186047;0.886116132721956;0.893932592339876
"west midlands";"MMR";1;2008;0.695625;0.881;0.91215891206174;0.898996485867621;0.902345826687932
"west midlands";"MMR";1;2009;0.698925;0.884;0.91653120429508;0.92255809843298;0.913237924865832
"west midlands";"MMR";1;2010;0.706275;0.9050155736;0.91652954443544;0.92674986393916;0.9355600594
"west midlands";"MMR";1;2011;0.71265;0.9153533666;0.92950640748284;0.93684420342848;0.9395261148
"west midlands";"MMR";1;2012;0.7203;0.9203710807;0.93828152934307;0.94225022109524;0.9432955604
"west midlands";"MMR";1;2013;0.7191;0.9273874855;0.93877668558013;0.95082779485641;0.9470743644
"west midlands";"MMR";1;2014;0.71985;0.9356846473;0.94381918659658;0.95205457632846;0.9546340977
"west midlands";"MMR";1;2015;0.7179;0.9353454131;0.95134867985;0.95350515059275;0.9564817436
"west midlands";"MMR";1;2016;0.724410843075;0.9312380524;0.94753821610692;0.9634099849135;0.9563267266
"west midlands";"MMR";1;2017;0.7168707426;0.9317622482;0.94239511292272;0.95448909401824;0.9670127124
"west midlands";"MMR";1;2018;0.714889588575;0.9116553136;0.94135640161472;0.94900355919252;0.9566540517
"west midlands";"MMR";1;2019;0.7134481554;0.9063722362;0.92820871062352;0.94703912128952;0.9530121752
"west midlands";"MMR";2;2005;0;0.691871170591728;0.780434058878549;0.780434058878549;0.780434058878549
"west midlands";"MMR";2;2006;0;0.702232518719362;0.775727290718385;0.775727290718385;0.775727290718385
"west midlands";"MMR";2;2007;0;0.711688546650718;0.78734445422061;0.78734445422061;0.78734445422061
"west midlands";"MMR";2;2008;0;0.735370332360418;0.797946570972887;0.797946570972887;0.797946570972887
"west midlands";"MMR";2;2009;0;0.77437581032961;0.824498634780153;0.824498634780153;0.824498634780153
"west midlands";"MMR";2;2010;0;0.77929564783608;0.8682316519;0.8682316519;0.8682316519
"west midlands";"MMR";2;2011;0;0.82565543295084;0.8737477832;0.8737477832;0.8737477832
"west midlands";"MMR";2;2012;0;0.83363757918241;0.8754696564;0.8754696564;0.8754696564
"west midlands";"MMR";2;2013;0;0.86020982760853;0.8787156943;0.8787156943;0.8787156943
"west midlands";"MMR";2;2014;0;0.8648250778035;0.9010263199;0.9010263199;0.9010263199
"west midlands";"MMR";2;2015;0;0.84635202521499;0.9055759977;0.9055759977;0.9055759977
"west midlands";"MMR";2;2016;0;0.86558833387104;0.8908030999;0.8908030999;0.8908030999
"west midlands";"MMR";2;2017;0;0.83922917950716;0.8990323368;0.8990323368;0.8990323368
"west midlands";"MMR";2;2018;0;0.82334037311632;0.8761135604;0.8761135604;0.8761135604
"west midlands";"MMR";2;2019;0;0.81712054848439;0.8674959152;0.8674959152;0.8674959152
"yorkshire and the humber";"MMR";1;2005;0.696;0.832;0.880614960838495;0.886261650854024;0.905718071552339
"yorkshire and the humber";"MMR";1;2006;0.70125;0.856;0.873692042487137;0.890492492973468;0.893731290720197
"yorkshire and the humber";"MMR";1;2007;0.674475;0.87;0.896367365613752;0.884087470899102;0.899240165890172
"yorkshire and the humber";"MMR";1;2008;0.6891;0.85;0.91161377785968;0.906432501174017;0.893293799598849
"yorkshire and the humber";"MMR";1;2009;0.698475;0.866;0.9084505984777;0.92198969189232;0.91534631816194
"yorkshire and the humber";"MMR";1;2010;0.705;0.8923926079;0.91429649090456;0.9230245789273;0.9311787384
"yorkshire and the humber";"MMR";1;2011;0.70005;0.9074695952;0.93598376515554;0.93577524567612;0.9359314885
"yorkshire and the humber";"MMR";1;2012;0.7092;0.9314036062;0.93232643127022;0.9464865925488;0.9478862172
"yorkshire and the humber";"MMR";1;2013;0.711675;0.9418284643;0.94521199670356;0.9536010504958;0.9555865152
"yorkshire and the humber";"MMR";1;2014;0.7092;0.9466027134;0.95482094195802;0.95584334480836;0.9595367005
"yorkshire and the humber";"MMR";1;2015;0.70845;0.9427337782;0.95776392652623;0.96501132213934;0.9623086879
"yorkshire and the humber";"MMR";1;2016;0.7274724199875;0.9399725306;0.95028695767432;0.96456047497901;0.9675357806
"yorkshire and the humber";"MMR";1;2017;0.7248959578875;0.9399264533;0.95033904443864;0.95629371630872;0.9664872905
"yorkshire and the humber";"MMR";1;2018;0.723105682575;0.9330558877;0.9504538782128;0.95623308553466;0.9587092001
"yorkshire and the humber";"MMR";1;2019;0.72234531165;0.9282818202;0.94726634755888;0.9564394077782;0.9581977659
"yorkshire and the humber";"MMR";2;2005;0;0.683870699066737;0.759589576325893;0.759589576325893;0.759589576325893
"yorkshire and the humber";"MMR";2;2006;0;0.692491298501157;0.758760345131185;0.758760345131185;0.758760345131185
"yorkshire and the humber";"MMR";2;2007;0;0.693923186535275;0.76832497337308;0.76832497337308;0.76832497337308
"yorkshire and the humber";"MMR";2;2008;0;0.738864680257006;0.769913665300427;0.769913665300427;0.769913665300427
"yorkshire and the humber";"MMR";2;2009;0;0.76736553357451;0.819776634036398;0.819776634036398;0.819776634036398
"yorkshire and the humber";"MMR";2;2010;0;0.78388043337246;0.8513985727;0.8513985727;0.8513985727
"yorkshire and the humber";"MMR";2;2011;0;0.7834717366193;0.8697219942;0.8697219942;0.8697219942
"yorkshire and the humber";"MMR";2;2012;0;0.80295608564444;0.8909162345;0.8909162345;0.8909162345
"yorkshire and the humber";"MMR";2;2013;0;0.83360156690937;0.9071925044;0.9071925044;0.9071925044
"yorkshire and the humber";"MMR";2;2014;0;0.82410676172475;0.9167508709;0.9167508709;0.9167508709
"yorkshire and the humber";"MMR";2;2015;0;0.81222441580064;0.9233689207;0.9233689207;0.9233689207
"yorkshire and the humber";"MMR";2;2016;0;0.839657172897;0.9175603432;0.9175603432;0.9175603432
"yorkshire and the humber";"MMR";2;2017;0;0.83330442079414;0.9051931575;0.9051931575;0.9051931575
"yorkshire and the humber";"MMR";2;2018;0;0.82319571782364;0.9046839874;0.9046839874;0.9046839874
"yorkshire and the humber";"MMR";2;2019;0;0.82200185398212;0.8990778919;0.8990778919;0.8990778919
